transaction_id,customer_id,customer_age,customer_gender,customer_city,product_category,product_subcategory,product_price,quantity,total_amount,discount_applied,payment_method,purchase_date,purchase_hour,purchase_day_of_week,purchase_month,shipping_cost,delivery_days,customer_satisfaction,return_flag,seasonal_multiplier,is_repeat_customer,purchase_month_name,purchase_weekday,time_period,discounted_price,margin,age_group,return_numeric
TXN000023,CUST000434,40,M,Juárez,Electrónicos,Laptops,2427.58,2,4855.16,0.0,PayPal,2024-10-03,12,Thursday,10,0,5,4.7,No,1.1,No,October,Thursday,Tarde,2427.58,2427.58,35-44,0
TXN000024,CUST000666,48,F,Mexicali,Ropa,Zapatos,611.37,3,770.33,58.0,Efectivo,2024-08-12,12,Monday,8,98,4,4.5,No,0.8,No,August,Monday,Tarde,256.77540000000005,158.77540000000005,45-54,0
TXN000025,CUST000603,29,M,Cancún,Libros,Técnicos,639.55,5,2436.69,23.8,Efectivo,2024-04-27,20,Saturday,4,0,4,4.6,No,1.0,No,April,Saturday,Noche,487.33709999999996,487.33709999999996,25-34,0
TXN000026,CUST000061,18,F,Torreón,Electrónicos,Audífonos,2917.23,4,7199.72,38.3,Tarjeta,2024-02-04,12,Sunday,2,0,3,4.1,No,0.7,No,February,Sunday,Tarde,1799.93091,1799.93091,18-24,0
TXN000027,CUST000498,38,F,Juárez,Hogar,Cocina,600.0,3,1800.0,0.0,Tarjeta,2024-10-03,13,Thursday,10,0,12,3.3,No,1.0,No,October,Thursday,Tarde,600.0,600.0,35-44,0
TXN000028,CUST000249,18,F,Villahermosa,Ropa,Pantalones,194.32,2,195.49,49.7,Tarjeta,2024-07-27,6,Saturday,7,125,8,5.0,No,0.7,No,July,Saturday,Mañana,97.74295999999998,-27.257040000000018,18-24,0
TXN000029,CUST000479,48,F,Guadalajara,Belleza,Skincare,665.32,2,1100.44,17.3,Tarjeta,2024-12-10,1,Tuesday,12,0,3,4.7,No,1.2,No,December,Tuesday,Madrugada,550.21964,550.21964,45-54,0
TXN000030,CUST000112,38,F,Torreón,Hogar,Cocina,573.4,1,573.4,0.0,Tarjeta,2024-04-13,22,Saturday,4,105,10,2.8,Sí,1.0,No,April,Saturday,Noche,573.4,468.4,35-44,1
TXN000031,CUST000078,35,Other,Saltillo,Electrónicos,Smartphones,2670.44,4,10681.76,0.0,Efectivo,2024-10-11,11,Friday,10,0,8,4.9,No,1.1,No,October,Friday,Mañana,2670.44,2670.44,35-44,0
TXN000032,CUST000417,33,F,Villahermosa,Ropa,Camisetas,651.53,4,1680.95,35.5,Tarjeta,2024-09-07,17,Saturday,9,0,3,5.0,No,1.1,No,September,Saturday,Tarde,420.23685,420.23685,25-34,0
TXN000033,CUST000272,19,F,Saltillo,Libros,Técnicos,725.16,7,5076.12,0.0,Tarjeta,2024-05-26,12,Sunday,5,0,10,4.9,No,1.0,Sí,May,Sunday,Tarde,725.16,725.16,18-24,0
TXN000034,CUST000304,35,F,Juárez,Belleza,Cuidado personal,524.89,3,1354.22,14.0,PayPal,2024-01-30,7,Tuesday,1,0,8,4.2,Sí,0.9,No,January,Tuesday,Mañana,451.4054,451.4054,35-44,1
TXN000035,CUST000599,53,F,Villahermosa,Libros,Técnicos,182.13,4,667.32,8.4,Tarjeta,2024-09-14,1,Saturday,9,135,4,4.3,No,1.3,No,September,Saturday,Madrugada,166.83108000000001,31.831080000000014,45-54,0
TXN000036,CUST000071,18,M,Oaxaca,Libros,No ficción,415.1,3,1029.86,17.3,PayPal,2024-02-04,10,Sunday,2,0,12,4.7,No,1.0,No,February,Sunday,Mañana,343.28770000000003,343.28770000000003,18-24,0
TXN000037,CUST000609,34,M,Guadalajara,Deportes,Fitness,288.21,2,576.42,0.0,Transferencia,2024-11-13,11,Wednesday,11,50,5,4.5,No,0.9,No,November,Wednesday,Mañana,288.21,238.20999999999998,25-34,0
TXN000038,CUST000324,59,M,Querétaro,Ropa,Vestidos,453.01,2,727.53,19.7,PayPal,2024-04-14,14,Sunday,4,120,5,4.3,No,1.3,No,April,Sunday,Tarde,363.76703000000003,243.76703000000003,55+,0
TXN000039,CUST000308,26,F,Saltillo,Belleza,Skincare,265.11,3,682.39,14.2,Transferencia,2024-06-10,13,Monday,6,149,12,3.5,No,1.0,No,June,Monday,Tarde,227.46438,78.46438,25-34,0
TXN000040,CUST000076,41,F,Cancún,Hogar,Muebles,1230.35,1,1230.35,0.0,Tarjeta,2024-04-19,11,Friday,4,0,8,4.4,No,1.0,No,April,Friday,Mañana,1230.35,1230.35,35-44,0
TXN000041,CUST000251,25,F,Mexicali,Hogar,Cocina,951.23,3,2853.69,0.0,PayPal,2024-05-25,11,Saturday,5,0,11,3.2,No,1.0,No,May,Saturday,Mañana,951.23,951.23,25-34,0
TXN000042,CUST000627,46,M,Veracruz,Belleza,Cuidado personal,187.23,2,374.46,0.0,Transferencia,2024-01-05,9,Friday,1,83,5,5.0,No,0.9,No,January,Friday,Mañana,187.23,104.22999999999999,45-54,0
TXN000043,CUST000110,35,M,Cancún,Belleza,Cabello,406.04,2,812.08,0.0,PayPal,2024-03-20,21,Wednesday,3,96,14,2.8,No,1.1,No,March,Wednesday,Noche,406.04,310.04,35-44,0
TXN000044,CUST000704,18,F,Querétaro,Electrónicos,Smartphones,2056.54,3,4701.25,23.8,Tarjeta,2024-09-15,14,Sunday,9,0,5,4.9,No,1.1,No,September,Sunday,Tarde,1567.08348,1567.08348,18-24,0
TXN000045,CUST000046,24,M,Ciudad de México,Belleza,Maquillaje,780.5,3,2341.5,0.0,Transferencia,2024-06-19,21,Wednesday,6,0,3,4.4,No,1.0,No,June,Wednesday,Noche,780.5,780.5,18-24,0
TXN000046,CUST000453,37,M,Cancún,Electrónicos,Tablets,5915.63,2,11831.26,0.0,PayPal,2024-12-27,20,Friday,12,0,2,4.8,Sí,1.6,No,December,Friday,Noche,5915.63,5915.63,35-44,1
TXN000047,CUST000708,18,F,Tijuana,Ropa,Accesorios,799.3,2,1598.6,0.0,PayPal,2024-10-12,21,Saturday,10,0,9,4.5,No,1.2,No,October,Saturday,Noche,799.3,799.3,18-24,0
TXN000048,CUST000316,45,F,Mexicali,Electrónicos,Laptops,3380.27,4,13521.08,0.0,Tarjeta,2024-01-21,11,Sunday,1,0,7,4.3,Sí,0.8,No,January,Sunday,Mañana,3380.27,3380.27,45-54,1
TXN000049,CUST000799,53,F,Cancún,Hogar,Muebles,1734.82,2,3469.64,0.0,Transferencia,2024-07-27,18,Saturday,7,0,6,4.5,No,0.9,No,July,Saturday,Noche,1734.82,1734.82,45-54,0
TXN000050,CUST000182,51,F,Cuernavaca,Ropa,Pantalones,245.67,3,737.01,0.0,PayPal,2024-01-13,14,Saturday,1,112,15,4.1,No,0.8,No,January,Saturday,Tarde,245.67,133.67,45-54,0
TXN000051,CUST000686,36,F,Torreón,Belleza,Maquillaje,838.65,4,3354.6,0.0,Transferencia,2024-05-16,23,Thursday,5,0,4,4.7,No,1.2,No,May,Thursday,Noche,838.65,838.65,35-44,0
TXN000052,CUST000040,35,F,Villahermosa,Ropa,Vestidos,596.37,4,1603.04,32.8,Tarjeta,2024-04-27,13,Saturday,4,0,15,4.5,No,1.3,No,April,Saturday,Tarde,400.76064,400.76064,35-44,0
TXN000053,CUST000229,21,M,Ciudad de México,Ropa,Vestidos,1533.02,2,3066.04,0.0,Tarjeta,2024-12-07,22,Saturday,12,0,3,4.6,No,1.1,No,December,Saturday,Noche,1533.02,1533.02,18-24,0
TXN000054,CUST000522,25,Other,Aguascalientes,Hogar,Muebles,1431.62,2,2863.24,0.0,PayPal,2024-12-13,13,Friday,12,0,3,4.6,No,1.0,No,December,Friday,Tarde,1431.62,1431.62,25-34,0
TXN000055,CUST000268,51,M,León,Hogar,Limpieza,424.04,3,1200.88,5.6,Transferencia,2024-10-24,8,Thursday,10,0,12,1.5,No,1.0,No,October,Thursday,Mañana,400.29376,400.29376,45-54,0
TXN000056,CUST000747,33,M,Mérida,Electrónicos,Smartwatches,2923.04,2,4939.94,15.5,Transferencia,2024-08-11,18,Sunday,8,0,6,4.5,No,1.0,No,August,Sunday,Noche,2469.9688,2469.9688,25-34,0
TXN000057,CUST000046,30,F,Cuernavaca,Electrónicos,Smartwatches,1309.8,2,2619.6,0.0,Transferencia,2024-01-01,12,Monday,1,0,7,5.0,No,0.8,Sí,January,Monday,Tarde,1309.8,1309.8,25-34,0
TXN000058,CUST000202,28,M,Mexicali,Ropa,Camisetas,319.75,4,1279.0,0.0,PayPal,2024-08-08,20,Thursday,8,0,8,4.9,No,0.8,No,August,Thursday,Noche,319.75,319.75,25-34,0
TXN000059,CUST000680,36,M,Puebla,Electrónicos,Tablets,1535.33,3,3846.0,16.5,Efectivo,2024-06-02,2,Sunday,6,0,7,4.6,No,1.0,No,June,Sunday,Madrugada,1282.00055,1282.00055,35-44,0
TXN000060,CUST000131,37,M,Juárez,Hogar,Jardinería,485.05,5,2425.25,0.0,Tarjeta,2024-08-03,21,Saturday,8,0,5,3.5,No,1.1,No,August,Saturday,Noche,485.05,485.05,35-44,0
TXN000061,CUST000309,39,M,Aguascalientes,Electrónicos,Audífonos,3415.08,3,7499.52,26.8,PayPal,2024-10-07,13,Monday,10,0,5,2.8,No,1.1,No,October,Monday,Tarde,2499.8385599999997,2499.8385599999997,35-44,0
TXN000062,CUST000622,36,M,Mérida,Electrónicos,Laptops,1386.23,2,2772.46,0.0,Transferencia,2024-08-26,6,Monday,8,0,8,4.3,No,1.0,No,August,Monday,Mañana,1386.23,1386.23,35-44,0
TXN000063,CUST000754,58,M,León,Ropa,Camisetas,1081.2,1,1081.2,0.0,Tarjeta,2024-12-07,21,Saturday,12,0,15,3.4,No,1.1,No,December,Saturday,Noche,1081.2,1081.2,55+,0
TXN000064,CUST000318,34,M,Torreón,Hogar,Cocina,1485.28,2,2658.65,10.5,Efectivo,2024-04-11,23,Thursday,4,0,6,4.6,No,1.0,No,April,Thursday,Noche,1329.3256,1329.3256,25-34,0
TXN000065,CUST000626,44,M,Monterrey,Libros,Infantiles,577.18,4,2308.72,0.0,Tarjeta,2024-08-21,15,Wednesday,8,0,5,4.3,No,1.2,No,August,Wednesday,Tarde,577.18,577.18,35-44,0
TXN000066,CUST000714,22,F,Aguascalientes,Electrónicos,Laptops,1731.9,3,5195.7,0.0,Tarjeta,2024-09-10,20,Tuesday,9,0,2,5.0,No,1.1,No,September,Tuesday,Noche,1731.9,1731.9,18-24,0
TXN000067,CUST000789,35,F,Puebla,Libros,Ficción,481.1,5,1842.61,23.4,Tarjeta,2024-08-10,10,Saturday,8,0,4,5.0,No,1.2,No,August,Saturday,Mañana,368.5226,368.5226,35-44,0
TXN000068,CUST000476,18,M,Veracruz,Electrónicos,Tablets,580.65,4,2322.6,0.0,Transferencia,2024-10-13,12,Sunday,10,0,7,3.6,No,1.1,No,October,Sunday,Tarde,580.65,580.65,18-24,0
TXN000069,CUST000437,34,F,Cancún,Electrónicos,Laptops,5020.18,2,10040.36,0.0,Tarjeta,2024-08-16,10,Friday,8,0,5,4.7,No,1.0,No,August,Friday,Mañana,5020.18,5020.18,25-34,0
TXN000070,CUST000770,27,M,Torreón,Belleza,Cabello,808.42,2,1616.84,0.0,Tarjeta,2024-11-22,20,Friday,11,0,11,4.2,No,1.1,No,November,Friday,Noche,808.42,808.42,25-34,0
TXN000071,CUST000245,37,F,Querétaro,Hogar,Cocina,702.17,5,2977.2,15.2,Tarjeta,2024-08-17,12,Saturday,8,0,8,3.4,No,1.1,No,August,Saturday,Tarde,595.44016,595.44016,35-44,0
TXN000072,CUST000083,34,M,Tijuana,Electrónicos,Laptops,3279.55,4,10979.93,16.3,Transferencia,2024-03-22,21,Friday,3,0,5,5.0,No,0.9,No,March,Friday,Noche,2744.98335,2744.98335,25-34,0
TXN000073,CUST000478,46,F,Cuernavaca,Libros,No ficción,555.34,3,1666.02,0.0,Tarjeta,2024-02-01,20,Thursday,2,0,9,4.5,No,1.0,No,February,Thursday,Noche,555.34,555.34,45-54,0
TXN000074,CUST000599,49,M,Ciudad de México,Libros,Ficción,703.36,3,2110.08,0.0,PayPal,2024-10-21,14,Monday,10,0,3,4.3,No,1.1,Sí,October,Monday,Tarde,703.36,703.36,45-54,0
TXN000075,CUST000430,38,F,Cancún,Belleza,Maquillaje,820.49,1,820.49,0.0,Transferencia,2024-10-06,11,Sunday,10,104,9,3.9,No,1.0,No,October,Sunday,Mañana,820.49,716.49,35-44,0
TXN000076,CUST000399,36,M,Mérida,Deportes,Running,1096.73,2,2193.46,0.0,Tarjeta,2024-12-08,2,Sunday,12,0,10,2.9,No,0.8,No,December,Sunday,Madrugada,1096.73,1096.73,35-44,0
TXN000077,CUST000638,53,F,Cancún,Hogar,Muebles,1088.76,3,3266.28,0.0,PayPal,2024-01-14,17,Sunday,1,0,3,4.7,Sí,1.1,No,January,Sunday,Tarde,1088.76,1088.76,45-54,1
TXN000078,CUST000439,32,F,Tijuana,Ropa,Pantalones,491.66,2,513.29,47.8,Transferencia,2024-08-24,12,Saturday,8,118,8,3.7,No,0.8,No,August,Saturday,Tarde,256.64652,138.64652,25-34,0
TXN000079,CUST000335,41,M,Mérida,Libros,Académicos,479.75,1,479.75,0.0,PayPal,2024-07-13,21,Saturday,7,123,7,4.2,No,1.0,No,July,Saturday,Noche,479.75,356.75,35-44,0
TXN000080,CUST000482,33,M,Ciudad de México,Electrónicos,Smartphones,4278.33,3,12834.99,0.0,Tarjeta,2024-10-03,13,Thursday,10,0,3,5.0,No,1.1,No,October,Thursday,Tarde,4278.33,4278.33,25-34,0
TXN000081,CUST000071,32,M,Guadalajara,Deportes,Fútbol,1707.62,1,1707.62,0.0,Efectivo,2024-01-16,10,Tuesday,1,0,5,3.9,No,1.3,Sí,January,Tuesday,Mañana,1707.62,1707.62,25-34,0
TXN000082,CUST000130,34,F,Villahermosa,Deportes,Running,621.5,1,621.5,0.0,Tarjeta,2024-12-13,6,Friday,12,117,5,3.4,No,0.8,No,December,Friday,Mañana,621.5,504.5,25-34,0
TXN000083,CUST000766,37,F,Puebla,Libros,Ficción,612.58,2,1225.16,0.0,Transferencia,2024-03-24,14,Sunday,3,0,7,3.5,No,1.1,No,March,Sunday,Tarde,612.58,612.58,35-44,0
TXN000084,CUST000385,39,F,Aguascalientes,Ropa,Camisetas,277.57,4,1110.28,0.0,Tarjeta,2024-04-11,5,Thursday,4,0,13,3.9,No,1.3,No,April,Thursday,Madrugada,277.57,277.57,35-44,0
TXN000085,CUST000714,22,F,San Luis Potosí,Deportes,Fitness,351.65,2,703.3,0.0,Tarjeta,2024-12-16,17,Monday,12,142,15,3.2,Sí,0.8,Sí,December,Monday,Tarde,351.65,209.64999999999998,18-24,1
TXN000086,CUST000546,48,F,Cuernavaca,Libros,Académicos,67.81,4,198.55,26.8,Tarjeta,2024-12-04,21,Wednesday,12,113,3,4.9,No,0.9,No,December,Wednesday,Noche,49.63692,-63.36308,45-54,0
TXN000087,CUST000502,42,F,Puebla,Ropa,Vestidos,636.16,2,750.67,41.0,PayPal,2024-08-09,20,Friday,8,128,14,2.6,Sí,0.8,No,August,Friday,Noche,375.3344,247.33440000000002,35-44,1
TXN000088,CUST000181,41,M,Veracruz,Hogar,Limpieza,349.82,4,1399.28,0.0,PayPal,2024-11-29,22,Friday,11,0,11,3.1,No,1.0,No,November,Friday,Noche,349.82,349.82,35-44,0
TXN000089,CUST000477,35,M,Cuernavaca,Libros,Académicos,180.56,1,138.31,23.4,PayPal,2024-10-30,17,Wednesday,10,101,4,3.6,No,1.1,No,October,Wednesday,Tarde,138.30896,37.30896000000001,35-44,0
TXN000090,CUST000462,39,F,Torreón,Libros,Infantiles,499.53,1,459.07,8.1,Efectivo,2024-08-25,13,Sunday,8,133,8,4.5,No,1.2,No,August,Sunday,Tarde,459.06807,326.06807,35-44,0
TXN000091,CUST000218,35,M,Mexicali,Electrónicos,Smartwatches,4236.53,3,12709.59,0.0,Tarjeta,2024-05-12,17,Sunday,5,0,4,2.8,No,1.0,No,May,Sunday,Tarde,4236.53,4236.53,35-44,0
TXN000092,CUST000530,23,F,Juárez,Belleza,Fragancias,786.06,7,5502.42,0.0,Transferencia,2024-02-17,3,Saturday,2,0,6,4.7,No,1.2,No,February,Saturday,Madrugada,786.06,786.06,18-24,0
TXN000093,CUST000662,48,M,Villahermosa,Libros,Ficción,889.85,6,3897.54,27.0,Tarjeta,2024-08-17,12,Saturday,8,0,6,5.0,No,1.2,No,August,Saturday,Tarde,649.5905,649.5905,45-54,0
TXN000094,CUST000250,47,F,San Luis Potosí,Libros,Técnicos,51.11,3,130.79,14.7,Tarjeta,2024-12-05,13,Thursday,12,140,11,3.8,No,0.9,No,December,Thursday,Tarde,43.59683,-96.40317,45-54,0
TXN000095,CUST000764,19,M,Cancún,Hogar,Jardinería,981.73,2,1698.39,13.5,PayPal,2024-06-18,12,Tuesday,6,0,7,3.8,No,0.9,No,June,Tuesday,Tarde,849.19645,849.19645,18-24,0
TXN000096,CUST000739,47,F,Juárez,Libros,No ficción,181.03,4,677.05,6.5,Tarjeta,2024-06-14,21,Friday,6,131,7,5.0,No,1.0,No,June,Friday,Noche,169.26305000000002,38.26305000000002,45-54,0
TXN000097,CUST000779,34,M,Veracruz,Ropa,Vestidos,878.65,2,1757.3,0.0,Tarjeta,2024-11-01,7,Friday,11,0,6,3.5,No,1.0,No,November,Friday,Mañana,878.65,878.65,25-34,0
TXN000098,CUST000370,23,F,León,Deportes,Basketball,1404.5,2,2224.73,20.8,PayPal,2024-06-07,22,Friday,6,0,3,5.0,No,1.0,No,June,Friday,Noche,1112.364,1112.364,18-24,0
TXN000099,CUST000715,35,M,Tijuana,Electrónicos,Tablets,4240.28,4,11804.94,30.4,PayPal,2024-11-22,16,Friday,11,0,2,5.0,No,1.4,No,November,Friday,Tarde,2951.2348799999995,2951.2348799999995,35-44,0
TXN000100,CUST000481,20,F,Villahermosa,Libros,Ficción,562.09,2,900.47,19.9,Efectivo,2024-08-13,13,Tuesday,8,131,4,4.7,No,1.2,No,August,Tuesday,Tarde,450.23409000000004,319.23409000000004,18-24,0
TXN000101,CUST000411,39,M,Villahermosa,Ropa,Accesorios,713.87,3,1927.45,10.0,Tarjeta,2024-02-07,21,Wednesday,2,0,3,4.2,No,0.9,No,February,Wednesday,Noche,642.4830000000001,642.4830000000001,35-44,0
TXN000102,CUST000577,21,M,San Luis Potosí,Electrónicos,Smartphones,1954.1,3,5862.3,0.0,PayPal,2024-02-13,11,Tuesday,2,0,5,3.7,No,0.7,No,February,Tuesday,Mañana,1954.1,1954.1,18-24,0
TXN000103,CUST000634,55,M,Torreón,Electrónicos,Tablets,2721.2,1,2100.77,22.8,Tarjeta,2024-09-24,19,Tuesday,9,0,6,5.0,No,1.1,Sí,September,Tuesday,Noche,2100.7664,2100.7664,55+,0
TXN000104,CUST000313,48,F,Chihuahua,Ropa,Camisetas,290.88,3,872.64,0.0,Tarjeta,2024-11-13,19,Wednesday,11,82,15,3.8,No,1.0,No,November,Wednesday,Noche,290.88,208.88,45-54,0
TXN000105,CUST000217,41,F,Querétaro,Electrónicos,Smartphones,2767.84,2,4279.08,22.7,PayPal,2024-12-04,15,Wednesday,12,0,3,5.0,No,1.6,No,December,Wednesday,Tarde,2139.54032,2139.54032,35-44,0
TXN000106,CUST000161,34,Other,Ciudad de México,Libros,Técnicos,413.75,5,1756.37,15.1,PayPal,2024-07-28,9,Sunday,7,0,1,5.0,No,1.0,No,July,Sunday,Mañana,351.27375,351.27375,25-34,0
TXN000107,CUST000724,35,F,San Luis Potosí,Libros,Infantiles,476.12,2,809.4,15.0,Tarjeta,2024-12-25,8,Wednesday,12,99,7,4.2,No,0.9,No,December,Wednesday,Mañana,404.702,305.702,35-44,0
TXN000108,CUST000641,41,M,Chihuahua,Hogar,Cocina,266.13,2,532.26,0.0,Transferencia,2024-12-04,5,Wednesday,12,139,6,4.2,No,1.0,No,December,Wednesday,Madrugada,266.13,127.13,35-44,0
TXN000109,CUST000273,26,Other,Tijuana,Electrónicos,Smartwatches,2627.65,1,2627.65,0.0,Tarjeta,2024-02-10,17,Saturday,2,0,6,4.2,No,0.7,No,February,Saturday,Tarde,2627.65,2627.65,25-34,0
TXN000110,CUST000450,36,F,Puebla,Deportes,Running,682.76,2,1365.52,0.0,Tarjeta,2024-08-27,12,Tuesday,8,0,11,3.4,No,1.0,No,August,Tuesday,Tarde,682.76,682.76,35-44,0
TXN000111,CUST000449,41,F,Monterrey,Electrónicos,Smartphones,3415.96,2,6831.92,0.0,Tarjeta,2024-11-02,1,Saturday,11,0,3,5.0,No,1.4,No,November,Saturday,Madrugada,3415.96,3415.96,35-44,0
TXN000112,CUST000027,34,M,Monterrey,Hogar,Muebles,313.34,3,940.02,0.0,Tarjeta,2024-04-27,12,Saturday,4,50,1,5.0,No,1.0,No,April,Saturday,Tarde,313.34,263.34,25-34,0
TXN000113,CUST000689,38,F,Querétaro,Libros,Infantiles,817.49,6,4904.94,0.0,Tarjeta,2024-10-25,15,Friday,10,0,10,3.5,No,1.1,No,October,Friday,Tarde,817.49,817.49,35-44,0
TXN000114,CUST000186,20,F,Chihuahua,Ropa,Zapatos,143.64,1,143.64,0.0,Transferencia,2024-08-11,22,Sunday,8,130,8,4.2,No,0.8,No,August,Sunday,Noche,143.64,13.639999999999986,18-24,0
TXN000115,CUST000329,18,M,Puebla,Deportes,Basketball,228.31,2,456.62,0.0,Efectivo,2024-03-23,6,Saturday,3,133,7,3.5,No,1.0,No,March,Saturday,Mañana,228.31,95.31,18-24,0
TXN000116,CUST000411,46,F,Cancún,Hogar,Jardinería,1529.2,1,1082.67,29.2,Tarjeta,2024-01-19,20,Friday,1,0,7,4.2,No,1.1,Sí,January,Friday,Noche,1082.6736,1082.6736,45-54,0
TXN000117,CUST000792,35,F,Aguascalientes,Deportes,Fitness,480.9,3,1442.7,0.0,Efectivo,2024-09-20,15,Friday,9,0,11,3.6,No,0.9,No,September,Friday,Tarde,480.9,480.9,35-44,0
TXN000118,CUST000056,29,M,Juárez,Libros,Infantiles,829.65,3,2488.95,0.0,Transferencia,2024-09-22,20,Sunday,9,0,15,3.2,Sí,1.3,No,September,Sunday,Noche,829.65,829.65,25-34,1
TXN000119,CUST000274,42,M,Cancún,Hogar,Limpieza,216.92,3,650.76,0.0,Transferencia,2024-03-08,20,Friday,3,132,4,5.0,Sí,1.2,No,March,Friday,Noche,216.92,84.91999999999999,35-44,1
