transaction_id,customer_id,customer_age,customer_gender,customer_city,product_category,product_subcategory,product_price,quantity,total_amount,discount_applied,payment_method,purchase_date,purchase_hour,purchase_day_of_week,purchase_month,shipping_cost,delivery_days,customer_satisfaction,return_flag,seasonal_multiplier,is_repeat_customer
TXN000031,CUST000078,35,Other,Saltillo,Electrónicos,Smartphones,2670.44,4,10681.76,0.0,Efectivo,2024-10-11,11,Friday,10,0,8,4.9,No,1.1,No
TXN000032,CUST000417,33,F,Villahermosa,Ropa,Camisetas,651.53,4,1680.95,35.5,Tarjeta,2024-09-07,17,Saturday,9,0,3,5.0,No,1.1,No
TXN000033,CUST000272,19,F,Saltillo,Libros,Técnicos,725.16,7,5076.12,0.0,Tarjeta,2024-05-26,12,Sunday,5,0,10,4.9,No,1.0,Sí
TXN000034,CUST000304,35,F,Juárez,Belleza,Cuidado personal,524.89,3,1354.22,14.0,PayPal,2024-01-30,7,Tuesday,1,0,8,4.2,Sí,0.9,No
TXN000035,CUST000599,53,F,Villahermosa,Libros,Técnicos,182.13,4,667.32,8.4,Tarjeta,2024-09-14,1,Saturday,9,135,4,4.3,No,1.3,No
TXN000036,CUST000071,18,M,Oaxaca,Libros,No ficción,415.1,3,1029.86,17.3,PayPal,2024-02-04,10,Sunday,2,0,12,4.7,No,1.0,No
TXN000037,CUST000609,34,M,Guadalajara,Deportes,Fitness,288.21,2,576.42,0.0,Transferencia,2024-11-13,11,Wednesday,11,50,5,4.5,No,0.9,No
TXN000038,CUST000324,59,M,Querétaro,Ropa,Vestidos,453.01,2,727.53,19.7,PayPal,2024-04-14,14,Sunday,4,120,5,4.3,No,1.3,No
TXN000039,CUST000308,26,F,Saltillo,Belleza,Skincare,265.11,3,682.39,14.2,Transferencia,2024-06-10,13,Monday,6,149,12,3.5,No,1.0,No
TXN000040,CUST000076,41,F,Cancún,Hogar,Muebles,1230.35,1,1230.35,0.0,Tarjeta,2024-04-19,11,Friday,4,0,8,4.4,No,1.0,No
TXN000041,CUST000251,25,F,Mexicali,Hogar,Cocina,951.23,3,2853.69,0.0,PayPal,2024-05-25,11,Saturday,5,0,11,3.2,No,1.0,No
TXN000042,CUST000627,46,M,Veracruz,Belleza,Cuidado personal,187.23,2,374.46,0.0,Transferencia,2024-01-05,9,Friday,1,83,5,5.0,No,0.9,No
TXN000043,CUST000110,35,M,Cancún,Belleza,Cabello,406.04,2,812.08,0.0,PayPal,2024-03-20,21,Wednesday,3,96,14,2.8,No,1.1,No
TXN000044,CUST000704,18,F,Querétaro,Electrónicos,Smartphones,2056.54,3,4701.25,23.8,Tarjeta,2024-09-15,14,Sunday,9,0,5,4.9,No,1.1,No
TXN000045,CUST000046,24,M,Ciudad de México,Belleza,Maquillaje,780.5,3,2341.5,0.0,Transferencia,2024-06-19,21,Wednesday,6,0,3,4.4,No,1.0,No
TXN000046,CUST000453,37,M,Cancún,Electrónicos,Tablets,5915.63,2,11831.26,0.0,PayPal,2024-12-27,20,Friday,12,0,2,4.8,Sí,1.6,No
TXN000047,CUST000708,18,F,Tijuana,Ropa,Accesorios,799.3,2,1598.6,0.0,PayPal,2024-10-12,21,Saturday,10,0,9,4.5,No,1.2,No
TXN000048,CUST000316,45,F,Mexicali,Electrónicos,Laptops,3380.27,4,13521.08,0.0,Tarjeta,2024-01-21,11,Sunday,1,0,7,4.3,Sí,0.8,No
TXN000049,CUST000799,53,F,Cancún,Hogar,Muebles,1734.82,2,3469.64,0.0,Transferencia,2024-07-27,18,Saturday,7,0,6,4.5,No,0.9,No
TXN000050,CUST000182,51,F,Cuernavaca,Ropa,Pantalones,245.67,3,737.01,0.0,PayPal,2024-01-13,14,Saturday,1,112,15,4.1,No,0.8,No
TXN000051,CUST000686,36,F,Torreón,Belleza,Maquillaje,838.65,4,3354.6,0.0,Transferencia,2024-05-16,23,Thursday,5,0,4,4.7,No,1.2,No
TXN000052,CUST000040,35,F,Villahermosa,Ropa,Vestidos,596.37,4,1603.04,32.8,Tarjeta,2024-04-27,13,Saturday,4,0,15,4.5,No,1.3,No
TXN000053,CUST000229,21,M,Ciudad de México,Ropa,Vestidos,1533.02,2,3066.04,0.0,Tarjeta,2024-12-07,22,Saturday,12,0,3,4.6,No,1.1,No
TXN000054,CUST000522,25,Other,Aguascalientes,Hogar,Muebles,1431.62,2,2863.24,0.0,PayPal,2024-12-13,13,Friday,12,0,3,4.6,No,1.0,No
TXN000055,CUST000268,51,M,León,Hogar,Limpieza,424.04,3,1200.88,5.6,Transferencia,2024-10-24,8,Thursday,10,0,12,1.5,No,1.0,No
TXN000056,CUST000747,33,M,Mérida,Electrónicos,Smartwatches,2923.04,2,4939.94,15.5,Transferencia,2024-08-11,18,Sunday,8,0,6,4.5,No,1.0,No
TXN000057,CUST000046,30,F,Cuernavaca,Electrónicos,Smartwatches,1309.8,2,2619.6,0.0,Transferencia,2024-01-01,12,Monday,1,0,7,5.0,No,0.8,Sí
TXN000058,CUST000202,28,M,Mexicali,Ropa,Camisetas,319.75,4,1279.0,0.0,PayPal,2024-08-08,20,Thursday,8,0,8,4.9,No,0.8,No
TXN000059,CUST000680,36,M,Puebla,Electrónicos,Tablets,1535.33,3,3846.0,16.5,Efectivo,2024-06-02,2,Sunday,6,0,7,4.6,No,1.0,No
TXN000060,CUST000131,37,M,Juárez,Hogar,Jardinería,485.05,5,2425.25,0.0,Tarjeta,2024-08-03,21,Saturday,8,0,5,3.5,No,1.1,No
TXN000061,CUST000309,39,M,Aguascalientes,Electrónicos,Audífonos,3415.08,3,7499.52,26.8,PayPal,2024-10-07,13,Monday,10,0,5,2.8,No,1.1,No
TXN000062,CUST000622,36,M,Mérida,Electrónicos,Laptops,1386.23,2,2772.46,0.0,Transferencia,2024-08-26,6,Monday,8,0,8,4.3,No,1.0,No
TXN000063,CUST000754,58,M,León,Ropa,Camisetas,1081.2,1,1081.2,0.0,Tarjeta,2024-12-07,21,Saturday,12,0,15,3.4,No,1.1,No
TXN000064,CUST000318,34,M,Torreón,Hogar,Cocina,1485.28,2,2658.65,10.5,Efectivo,2024-04-11,23,Thursday,4,0,6,4.6,No,1.0,No
TXN000065,CUST000626,44,M,Monterrey,Libros,Infantiles,577.18,4,2308.72,0.0,Tarjeta,2024-08-21,15,Wednesday,8,0,5,4.3,No,1.2,No
TXN000066,CUST000714,22,F,Aguascalientes,Electrónicos,Laptops,1731.9,3,5195.7,0.0,Tarjeta,2024-09-10,20,Tuesday,9,0,2,5.0,No,1.1,No
TXN000067,CUST000789,35,F,Puebla,Libros,Ficción,481.1,5,1842.61,23.4,Tarjeta,2024-08-10,10,Saturday,8,0,4,5.0,No,1.2,No
TXN000068,CUST000476,18,M,Veracruz,Electrónicos,Tablets,580.65,4,2322.6,0.0,Transferencia,2024-10-13,12,Sunday,10,0,7,3.6,No,1.1,No
TXN000069,CUST000437,34,F,Cancún,Electrónicos,Laptops,5020.18,2,10040.36,0.0,Tarjeta,2024-08-16,10,Friday,8,0,5,4.7,No,1.0,No
TXN000070,CUST000770,27,M,Torreón,Belleza,Cabello,808.42,2,1616.84,0.0,Tarjeta,2024-11-22,20,Friday,11,0,11,4.2,No,1.1,No
TXN000071,CUST000245,37,F,Querétaro,Hogar,Cocina,702.17,5,2977.2,15.2,Tarjeta,2024-08-17,12,Saturday,8,0,8,3.4,No,1.1,No
TXN000072,CUST000083,34,M,Tijuana,Electrónicos,Laptops,3279.55,4,10979.93,16.3,Transferencia,2024-03-22,21,Friday,3,0,5,5.0,No,0.9,No
TXN000073,CUST000478,46,F,Cuernavaca,Libros,No ficción,555.34,3,1666.02,0.0,Tarjeta,2024-02-01,20,Thursday,2,0,9,4.5,No,1.0,No
TXN000074,CUST000599,49,M,Ciudad de México,Libros,Ficción,703.36,3,2110.08,0.0,PayPal,2024-10-21,14,Monday,10,0,3,4.3,No,1.1,Sí
TXN000075,CUST000430,38,F,Cancún,Belleza,Maquillaje,820.49,1,820.49,0.0,Transferencia,2024-10-06,11,Sunday,10,104,9,3.9,No,1.0,No
TXN000076,CUST000399,36,M,Mérida,Deportes,Running,1096.73,2,2193.46,0.0,Tarjeta,2024-12-08,2,Sunday,12,0,10,2.9,No,0.8,No
TXN000077,CUST000638,53,F,Cancún,Hogar,Muebles,1088.76,3,3266.28,0.0,PayPal,2024-01-14,17,Sunday,1,0,3,4.7,Sí,1.1,No
TXN000078,CUST000439,32,F,Tijuana,Ropa,Pantalones,491.66,2,513.29,47.8,Transferencia,2024-08-24,12,Saturday,8,118,8,3.7,No,0.8,No
TXN000079,CUST000335,41,M,Mérida,Libros,Académicos,479.75,1,479.75,0.0,PayPal,2024-07-13,21,Saturday,7,123,7,4.2,No,1.0,No
TXN000080,CUST000482,33,M,Ciudad de México,Electrónicos,Smartphones,4278.33,3,12834.99,0.0,Tarjeta,2024-10-03,13,Thursday,10,0,3,5.0,No,1.1,No
TXN000081,CUST000071,32,M,Guadalajara,Deportes,Fútbol,1707.62,1,1707.62,0.0,Efectivo,2024-01-16,10,Tuesday,1,0,5,3.9,No,1.3,Sí
TXN000082,CUST000130,34,F,Villahermosa,Deportes,Running,621.5,1,621.5,0.0,Tarjeta,2024-12-13,6,Friday,12,117,5,3.4,No,0.8,No
TXN000083,CUST000766,37,F,Puebla,Libros,Ficción,612.58,2,1225.16,0.0,Transferencia,2024-03-24,14,Sunday,3,0,7,3.5,No,1.1,No
TXN000084,CUST000385,39,F,Aguascalientes,Ropa,Camisetas,277.57,4,1110.28,0.0,Tarjeta,2024-04-11,5,Thursday,4,0,13,3.9,No,1.3,No
TXN000085,CUST000714,22,F,San Luis Potosí,Deportes,Fitness,351.65,2,703.3,0.0,Tarjeta,2024-12-16,17,Monday,12,142,15,3.2,Sí,0.8,Sí
TXN000086,CUST000546,48,F,Cuernavaca,Libros,Académicos,67.81,4,198.55,26.8,Tarjeta,2024-12-04,21,Wednesday,12,113,3,4.9,No,0.9,No
TXN000087,CUST000502,42,F,Puebla,Ropa,Vestidos,636.16,2,750.67,41.0,PayPal,2024-08-09,20,Friday,8,128,14,2.6,Sí,0.8,No
TXN000088,CUST000181,41,M,Veracruz,Hogar,Limpieza,349.82,4,1399.28,0.0,PayPal,2024-11-29,22,Friday,11,0,11,3.1,No,1.0,No
TXN000089,CUST000477,35,M,Cuernavaca,Libros,Académicos,180.56,1,138.31,23.4,PayPal,2024-10-30,17,Wednesday,10,101,4,3.6,No,1.1,No
TXN000090,CUST000462,39,F,Torreón,Libros,Infantiles,499.53,1,459.07,8.1,Efectivo,2024-08-25,13,Sunday,8,133,8,4.5,No,1.2,No
TXN000091,CUST000218,35,M,Mexicali,Electrónicos,Smartwatches,4236.53,3,12709.59,0.0,Tarjeta,2024-05-12,17,Sunday,5,0,4,2.8,No,1.0,No
TXN000092,CUST000530,23,F,Juárez,Belleza,Fragancias,786.06,7,5502.42,0.0,Transferencia,2024-02-17,3,Saturday,2,0,6,4.7,No,1.2,No
TXN000093,CUST000662,48,M,Villahermosa,Libros,Ficción,889.85,6,3897.54,27.0,Tarjeta,2024-08-17,12,Saturday,8,0,6,5.0,No,1.2,No
TXN000094,CUST000250,47,F,San Luis Potosí,Libros,Técnicos,51.11,3,130.79,14.7,Tarjeta,2024-12-05,13,Thursday,12,140,11,3.8,No,0.9,No
TXN000095,CUST000764,19,M,Cancún,Hogar,Jardinería,981.73,2,1698.39,13.5,PayPal,2024-06-18,12,Tuesday,6,0,7,3.8,No,0.9,No
TXN000096,CUST000739,47,F,Juárez,Libros,No ficción,181.03,4,677.05,6.5,Tarjeta,2024-06-14,21,Friday,6,131,7,5.0,No,1.0,No
TXN000097,CUST000779,34,M,Veracruz,Ropa,Vestidos,878.65,2,1757.3,0.0,Tarjeta,2024-11-01,7,Friday,11,0,6,3.5,No,1.0,No
TXN000098,CUST000370,23,F,León,Deportes,Basketball,1404.5,2,2224.73,20.8,PayPal,2024-06-07,22,Friday,6,0,3,5.0,No,1.0,No
TXN000099,CUST000715,35,M,Tijuana,Electrónicos,Tablets,4240.28,4,11804.94,30.4,PayPal,2024-11-22,16,Friday,11,0,2,5.0,No,1.4,No
TXN000100,CUST000481,20,F,Villahermosa,Libros,Ficción,562.09,2,900.47,19.9,Efectivo,2024-08-13,13,Tuesday,8,131,4,4.7,No,1.2,No
TXN000101,CUST000411,39,M,Villahermosa,Ropa,Accesorios,713.87,3,1927.45,10.0,Tarjeta,2024-02-07,21,Wednesday,2,0,3,4.2,No,0.9,No
TXN000102,CUST000577,21,M,San Luis Potosí,Electrónicos,Smartphones,1954.1,3,5862.3,0.0,PayPal,2024-02-13,11,Tuesday,2,0,5,3.7,No,0.7,No
TXN000103,CUST000634,55,M,Torreón,Electrónicos,Tablets,2721.2,1,2100.77,22.8,Tarjeta,2024-09-24,19,Tuesday,9,0,6,5.0,No,1.1,Sí
TXN000104,CUST000313,48,F,Chihuahua,Ropa,Camisetas,290.88,3,872.64,0.0,Tarjeta,2024-11-13,19,Wednesday,11,82,15,3.8,No,1.0,No
TXN000105,CUST000217,41,F,Querétaro,Electrónicos,Smartphones,2767.84,2,4279.08,22.7,PayPal,2024-12-04,15,Wednesday,12,0,3,5.0,No,1.6,No
TXN000106,CUST000161,34,Other,Ciudad de México,Libros,Técnicos,413.75,5,1756.37,15.1,PayPal,2024-07-28,9,Sunday,7,0,1,5.0,No,1.0,No
TXN000107,CUST000724,35,F,San Luis Potosí,Libros,Infantiles,476.12,2,809.4,15.0,Tarjeta,2024-12-25,8,Wednesday,12,99,7,4.2,No,0.9,No
TXN000108,CUST000641,41,M,Chihuahua,Hogar,Cocina,266.13,2,532.26,0.0,Transferencia,2024-12-04,5,Wednesday,12,139,6,4.2,No,1.0,No
TXN000109,CUST000273,26,Other,Tijuana,Electrónicos,Smartwatches,2627.65,1,2627.65,0.0,Tarjeta,2024-02-10,17,Saturday,2,0,6,4.2,No,0.7,No
TXN000110,CUST000450,36,F,Puebla,Deportes,Running,682.76,2,1365.52,0.0,Tarjeta,2024-08-27,12,Tuesday,8,0,11,3.4,No,1.0,No
TXN000111,CUST000449,41,F,Monterrey,Electrónicos,Smartphones,3415.96,2,6831.92,0.0,Tarjeta,2024-11-02,1,Saturday,11,0,3,5.0,No,1.4,No
TXN000112,CUST000027,34,M,Monterrey,Hogar,Muebles,313.34,3,940.02,0.0,Tarjeta,2024-04-27,12,Saturday,4,50,1,5.0,No,1.0,No
TXN000113,CUST000689,38,F,Querétaro,Libros,Infantiles,817.49,6,4904.94,0.0,Tarjeta,2024-10-25,15,Friday,10,0,10,3.5,No,1.1,No
TXN000114,CUST000186,20,F,Chihuahua,Ropa,Zapatos,143.64,1,143.64,0.0,Transferencia,2024-08-11,22,Sunday,8,130,8,4.2,No,0.8,No
TXN000115,CUST000329,18,M,Puebla,Deportes,Basketball,228.31,2,456.62,0.0,Efectivo,2024-03-23,6,Saturday,3,133,7,3.5,No,1.0,No
TXN000116,CUST000411,46,F,Cancún,Hogar,Jardinería,1529.2,1,1082.67,29.2,Tarjeta,2024-01-19,20,Friday,1,0,7,4.2,No,1.1,Sí
TXN000117,CUST000792,35,F,Aguascalientes,Deportes,Fitness,480.9,3,1442.7,0.0,Efectivo,2024-09-20,15,Friday,9,0,11,3.6,No,0.9,No
TXN000118,CUST000056,29,M,Juárez,Libros,Infantiles,829.65,3,2488.95,0.0,Transferencia,2024-09-22,20,Sunday,9,0,15,3.2,Sí,1.3,No
TXN000119,CUST000274,42,M,Cancún,Hogar,Limpieza,216.92,3,650.76,0.0,Transferencia,2024-03-08,20,Friday,3,132,4,5.0,Sí,1.2,No
TXN000120,CUST000646,62,F,Oaxaca,Ropa,Pantalones,780.93,2,1318.21,15.6,Efectivo,2024-05-02,18,Thursday,5,0,3,5.0,No,1.1,No
TXN000121,CUST000096,32,F,Torreón,Electrónicos,Tablets,1849.06,2,3698.12,0.0,Tarjeta,2024-02-28,19,Wednesday,2,0,7,3.6,No,0.7,No
TXN000122,CUST000511,25,F,San Luis Potosí,Ropa,Zapatos,348.65,5,1743.25,0.0,PayPal,2024-09-17,12,Tuesday,9,0,10,3.9,No,1.1,No
TXN000123,CUST000565,48,M,Tijuana,Deportes,Fitness,983.02,4,2925.47,25.6,Tarjeta,2024-07-19,13,Friday,7,0,15,3.3,No,1.0,No
TXN000124,CUST000349,32,F,Veracruz,Deportes,Fitness,318.19,1,284.78,10.5,Transferencia,2024-05-16,15,Thursday,5,108,12,3.1,No,1.2,No
TXN000125,CUST000676,22,F,Villahermosa,Deportes,Running,579.38,2,1158.76,0.0,Tarjeta,2024-03-17,11,Sunday,3,0,11,4.7,No,1.0,No
TXN000126,CUST000387,36,M,Saltillo,Belleza,Maquillaje,756.23,3,2268.69,0.0,Transferencia,2024-06-13,6,Thursday,6,0,6,3.0,No,1.0,No
TXN000127,CUST000240,18,F,Cuernavaca,Deportes,Running,1351.65,1,1351.65,0.0,Tarjeta,2024-01-23,5,Tuesday,1,0,15,3.3,No,1.3,No
TXN000128,CUST000680,24,F,Tijuana,Electrónicos,Laptops,1815.17,1,1815.17,0.0,Transferencia,2024-09-10,6,Tuesday,9,0,6,3.8,No,1.1,Sí
TXN000129,CUST000103,36,M,Saltillo,Ropa,Accesorios,141.0,1,141.0,0.0,Tarjeta,2024-02-21,12,Wednesday,2,71,14,2.6,Sí,0.9,No
TXN000130,CUST000671,44,M,Tijuana,Deportes,Running,559.68,2,1119.36,0.0,PayPal,2024-02-08,20,Thursday,2,0,7,3.3,No,0.9,No
TXN000131,CUST000710,22,F,Aguascalientes,Deportes,Fitness,181.41,3,544.23,0.0,PayPal,2024-11-28,17,Thursday,11,138,9,4.2,No,0.9,No
TXN000132,CUST000642,56,F,Villahermosa,Electrónicos,Smartphones,2510.79,2,5021.58,0.0,Transferencia,2024-10-04,11,Friday,10,0,3,4.0,No,1.1,No
TXN000133,CUST000295,18,F,Torreón,Libros,Infantiles,569.53,1,569.53,0.0,Transferencia,2024-02-16,13,Friday,2,82,10,3.5,Sí,1.0,No
TXN000134,CUST000307,32,M,Ciudad de México,Deportes,Basketball,2269.25,3,6807.75,0.0,PayPal,2024-01-24,16,Wednesday,1,0,3,5.0,No,1.3,No
TXN000135,CUST000442,44,F,Tijuana,Ropa,Accesorios,1154.04,3,3462.12,0.0,Transferencia,2024-05-05,9,Sunday,5,0,5,4.1,No,1.1,No
TXN000136,CUST000081,23,M,Oaxaca,Hogar,Cocina,1198.77,4,4795.08,0.0,PayPal,2024-07-14,21,Sunday,7,0,12,3.7,Sí,0.9,No
TXN000137,CUST000473,49,F,Querétaro,Libros,Académicos,863.21,3,2589.63,0.0,PayPal,2024-08-23,20,Friday,8,0,15,5.0,No,1.2,No
TXN000138,CUST000295,33,F,Cancún,Ropa,Camisetas,1197.35,3,2521.62,29.8,Tarjeta,2024-03-21,16,Thursday,3,0,8,3.1,No,1.2,Sí
TXN000139,CUST000307,33,Other,Cuernavaca,Deportes,Basketball,800.01,4,3200.04,0.0,PayPal,2024-12-19,16,Thursday,12,0,7,5.0,No,0.8,Sí
TXN000140,CUST000394,18,M,Villahermosa,Electrónicos,Laptops,1153.7,4,3387.26,26.6,PayPal,2024-02-24,7,Saturday,2,0,4,4.6,No,0.7,No
TXN000141,CUST000717,48,F,San Luis Potosí,Hogar,Jardinería,981.84,3,2945.52,0.0,Transferencia,2024-01-12,21,Friday,1,0,12,3.3,No,1.1,No
TXN000142,CUST000797,45,M,Guadalajara,Libros,Infantiles,265.12,3,795.36,0.0,Tarjeta,2024-11-06,11,Wednesday,11,50,3,4.3,No,1.0,No
TXN000143,CUST000236,46,F,Oaxaca,Ropa,Pantalones,263.09,3,504.34,36.1,Tarjeta,2024-06-29,15,Saturday,6,149,7,5.0,No,0.8,No
TXN000144,CUST000739,46,F,Tijuana,Deportes,Basketball,698.71,6,4192.26,0.0,Tarjeta,2024-11-22,18,Friday,11,0,3,5.0,No,0.9,Sí
TXN000145,CUST000750,23,M,Tijuana,Ropa,Vestidos,1091.48,1,917.93,15.9,PayPal,2024-02-16,12,Friday,2,123,5,4.5,No,0.9,No
TXN000146,CUST000553,32,M,Mexicali,Deportes,Natación,90.4,1,90.4,0.0,Tarjeta,2024-09-28,7,Saturday,9,91,7,2.8,No,0.9,No
TXN000147,CUST000494,38,F,San Luis Potosí,Ropa,Camisetas,463.9,6,2321.36,16.6,Tarjeta,2024-06-22,12,Saturday,6,0,4,5.0,No,0.8,No
TXN000148,CUST000232,44,F,Aguascalientes,Deportes,Basketball,1050.79,1,931.0,11.4,PayPal,2024-10-12,5,Saturday,10,120,3,4.6,No,0.9,No
TXN000149,CUST000127,26,M,Saltillo,Hogar,Limpieza,734.23,5,3671.15,0.0,Tarjeta,2024-07-07,15,Sunday,7,0,13,3.6,No,0.9,No
TXN000150,CUST000111,43,F,Torreón,Libros,Ficción,502.14,1,502.14,0.0,Tarjeta,2024-08-29,12,Thursday,8,141,8,4.4,No,1.2,No
TXN000151,CUST000227,65,M,Monterrey,Electrónicos,Tablets,4309.08,3,12927.24,0.0,PayPal,2024-11-21,11,Thursday,11,0,3,4.4,No,1.4,No
TXN000152,CUST000120,51,F,Tijuana,Libros,Ficción,311.26,4,1048.32,15.8,Transferencia,2024-01-24,8,Wednesday,1,0,10,3.5,Sí,0.9,No
TXN000153,CUST000241,23,M,Cancún,Hogar,Limpieza,289.96,3,869.88,0.0,PayPal,2024-03-10,23,Sunday,3,139,9,3.9,No,1.2,No
TXN000154,CUST000745,25,F,Tijuana,Electrónicos,Smartphones,2696.14,2,5392.28,0.0,PayPal,2024-07-31,19,Wednesday,7,0,6,4.5,No,1.0,No
TXN000155,CUST000287,41,M,Guadalajara,Belleza,Cabello,497.11,4,1620.58,18.5,PayPal,2024-12-19,8,Thursday,12,0,4,4.3,No,1.2,No
TXN000156,CUST000372,53,F,Puebla,Hogar,Limpieza,451.3,4,1651.76,8.5,PayPal,2024-12-17,13,Tuesday,12,0,7,4.4,No,1.0,No
TXN000157,CUST000126,18,Other,Saltillo,Libros,No ficción,313.6,3,940.8,0.0,Transferencia,2024-02-16,22,Friday,2,146,3,4.5,Sí,1.0,No
TXN000158,CUST000342,38,F,Torreón,Electrónicos,Laptops,3210.45,2,3769.07,41.3,Transferencia,2024-03-05,13,Tuesday,3,0,8,5.0,No,0.9,No
